,Poem Title,line
362,LEMUEL KAYHART,
363,LEMUEL KAYHART,"There is a land beyond the skies,"
364,LEMUEL KAYHART,Where joy and pleasure never dies;
365,LEMUEL KAYHART,"A land from sin and sorrow free,"
366,LEMUEL KAYHART,Oh! how I long that land to see.
367,LEMUEL KAYHART,
368,LEMUEL KAYHART,"I fain would leave this world of woe,"
369,LEMUEL KAYHART,And to that happy land I’d go;
370,LEMUEL KAYHART,I’d bid adieu to earthly ties
371,LEMUEL KAYHART,And reign with Him beyond the skies.
372,LEMUEL KAYHART,
373,LEMUEL KAYHART,"Who made this world, the shining sun,"
374,LEMUEL KAYHART,And bid the stars their courses run?
375,LEMUEL KAYHART,"Who formed the land, who made the trees,"
376,LEMUEL KAYHART,The mighty oceans and the seas?
377,LEMUEL KAYHART,
378,LEMUEL KAYHART,"Who reared the mountains crowned in green,"
379,LEMUEL KAYHART,The winding rivers roll between;
380,LEMUEL KAYHART,"And all that’s seen by human eyes,"
381,LEMUEL KAYHART,And all beyond the bright blue skies?
382,LEMUEL KAYHART,
383,LEMUEL KAYHART,Who scattered countless worlds through space
384,LEMUEL KAYHART,"To onward plod their weary race,"
385,LEMUEL KAYHART,"Till God shall stand on sea and shore,"
386,LEMUEL KAYHART,Declaring time shall be no more?
387,LEMUEL KAYHART,
388,LEMUEL KAYHART,"Oh! great Jehovah, faithful friend,"
389,LEMUEL KAYHART,On Thee our fainting souls depend;
390,LEMUEL KAYHART,"Guide us with unerring eye,"
391,LEMUEL KAYHART,To realms of bliss beyond the sky.
392,LEMUEL KAYHART,
393,LEMUEL KAYHART,"Beautiful land, enchanted land,"
394,LEMUEL KAYHART,"Where angels to me beckoning stand,"
395,LEMUEL KAYHART,To call me from this earth away
396,LEMUEL KAYHART,To reign with Christ in endless day.
397,LEMUEL KAYHART,
398,LEMUEL KAYHART,"By faith I see that happy land,"
399,LEMUEL KAYHART,The vacant seat at Christ’s right hand;
400,LEMUEL KAYHART,The place that waits me till I rise
401,LEMUEL KAYHART,To reign with Him beyond the skies.
402,LEMUEL KAYHART,
403,LEMUEL KAYHART,"By faith those pearly gates I see,"
404,LEMUEL KAYHART,Those gates stand open wide for me;
405,LEMUEL KAYHART,The angels there in waiting stand
406,LEMUEL KAYHART,To pass me to that happy land.
407,LEMUEL KAYHART,
408,LEMUEL KAYHART,"The dear ones in that happy land,"
409,LEMUEL KAYHART,Methinks I see them hand in hand;
